FECHA_ANOTACION;VALOR;DESTINO_ECONOMICO;AREA_TERRENO;AREA_CONSTRUIDA;AVALUO; HAB; BAÑOS; LOCAL; PISOS;MAX_PUNT;POINT_X;POINT_Y;Latitud;Longitud;Latitud.1;Longitud.1;UTM waypoint Garmin;DISTANCIA - CBD (San Pio) metros;Estrato/Hacienda
2022-08-17 00:00:00;260774999;A;000000000166;000144;232381000;3;1;0;1;60;1373012.3249;10794349.3861;7.1187174084643585;-73.1182844593087;"-7º -7' -7,383"" S";"73º 7' 5,824"" W";17 N 1373012 10794349;864.098573279;4
2022-12-16 00:00:00;438101999;B;000000000314;000290;436439000;0;3;2;2;60;1372945.1126;10794217.7396;7.117548198167977;-73.11890761115555;"-7º -7' -3,174"" S";"73º 7' 8,067"" W";17 N 1372945 10794218;940.776881798;3
2022-05-11 00:00:00;99094499;C;000000000003;000009;25063000;0;1;0;1;71;1372737.8479;10794277.2215;7.118113003798541;-73.12075762432066;"-7º -7' -5,207"" S";"73º 7' 14,727"" W";17 N 1372738 10794277;1140.95375214;4
2021-12-13 00:00:00;242258574;A;000000000011;000057;120769000;0;0;0;5;75;1372739.3488;10794308.1428;7.1183898267669194;-73.1207394040077;"-7º -7' -6,203"" S";"73º 7' 14,662"" W";17 N 1372739 10794308;1137.87586664;4
2022-07-18 00:00:00;220569021;A;000000000010;000051;109125000;0;0;0;5;75;1372726.9369;10794308.2846;7.1183930046042985;-73.12085071736126;"-7º -7' -6,215"" S";"73º 7' 15,063"" W";17 N 1372727 10794308;1150.2738494;4
2022-04-22 00:00:00;190463151;A;000000000010;000051;109804000;0;0;0;5;75;1372730.0693;10794300.6958;7.118324527901116;-73.12082378715452;"-7º -7' -5,968"" S";"73º 7' 14,966"" W";17 N 1372730 10794301;1147.45037867;4
2021-12-24 00:00:00;297856120;A;000000000013;000063;134560000;0;0;0;5;75;1372745.2463;10794292.3352;7.118247285059634;-73.12068893525718;"-7º -7' -5,69"" S";"73º 7' 14,48"" W";17 N 1372745 10794292;1132.68935769;4
2021-12-16 00:00:00;235181289;A;000000000011;000057;120769000;0;0;0;6;75;1372739.3488;10794308.1428;7.1183898267669194;-73.1207394040077;"-7º -7' -6,203"" S";"73º 7' 14,662"" W";17 N 1372739 10794308;1137.87586664;4
2021-12-24 00:00:00;234669993;A;000000000010;000052;109996000;0;0;0;6;75;1372730.0692;10794300.7006;7.118324570924291;-73.12082378731306;"-7º -7' -5,968"" S";"73º 7' 14,966"" W";17 N 1372730 10794301;1147.4502687;4
2022-04-22 00:00:00;297283500;A;000000000012;000059;126234000;0;0;0;6;75;1372742.8401;10794300.2578;7.118318640984168;-73.12070930005102;"-7º -7' -5,947"" S";"73º 7' 14,553"" W";17 N 1372743 10794300;1134.71138252;4
2022-06-06 00:00:00;302499000;A;000000000013;000065;139235000;0;0;0;7;75;1372724.3228;10794316.0437;7.118462927550081;-73.12087297219543;"-7º -7' -6,467"" S";"73º 7' 15,143"" W";17 N 1372724 10794316;1152.62563906;4
2021-11-09 00:00:00;240970448;A;000000000011;000054;115901000;0;0;0;7;75;1372726.6394;10794308.3047;7.118393230415516;-73.12085338285448;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57040175;4
2022-07-08 00:00:00;316059300;A;000000000013;000066;140638000;0;0;0;7;75;1372745.4781;10794292.7181;7.118250680207673;-73.12068679709539;"-7º -7' -5,702"" S";"73º 7' 14,472"" W";17 N 1372745 10794293;1132.43814076;4
2021-12-17 00:00:00;251612610;A;000000000012;000057;121559000;0;0;0;8;75;1372739.6399;10794308.913;7.1183966829946135;-73.12073667433442;"-7º -7' -6,228"" S";"73º 7' 14,652"" W";17 N 1372740 10794309;1137.55630431;4
2021-11-17 00:00:00;308593747;A;000000000014;000066;141522000;0;0;0;8;75;1372734.6926;10794319.7875;7.118494878331475;-73.1207793787176;"-7º -7' -6,582"" S";"73º 7' 14,806"" W";17 N 1372735 10794320;1142.15260374;4
2022-04-27 00:00:00;290659815;A;000000000015;000072;153163000;0;0;0;8;75;1372723.8985;10794316.0615;7.118463152238843;-73.1208767754438;"-7º -7' -6,467"" S";"73º 7' 15,156"" W";17 N 1372724 10794316;1153.04920794;4
2022-01-12 00:00:00;225710984;A;000000000011;000054;115901000;0;0;0;8;75;1372726.6378;10794308.3088;7.118393267397233;-73.12085339657577;"-7º -7' -6,216"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.57184898;4
2021-12-29 00:00:00;298306290;A;000000000015;000072;154335000;0;0;0;8;75;1372745.8951;10794292.7045;7.118250494272956;-73.12068305868556;"-7º -7' -5,702"" S";"73º 7' 14,459"" W";17 N 1372746 10794293;1132.02238982;4
2021-12-29 00:00:00;248136220;A;000000000011;000057;120880000;0;0;0;9;75;1372739.3339;10794308.1119;7.118389552193844;-73.12073954241521;"-7º -7' -6,202"" S";"73º 7' 14,662"" W";17 N 1372739 10794308;1137.89191682;4
2021-11-30 00:00:00;309311298;A;000000000013;000066;140812000;0;0;0;9;75;1372734.2706;10794320.0473;7.118497270978263;-73.12078312410178;"-7º -7' -6,59"" S";"73º 7' 14,819"" W";17 N 1372734 10794320;1142.56740956;4
2021-11-09 00:00:00;300027464;A;000000000014;000065;140008000;0;0;0;9;75;1372723.9107;10794316.0401;7.118462958620901;-73.12087666930175;"-7º -7' -6,467"" S";"73º 7' 15,156"" W";17 N 1372724 10794316;1153.03765972;4
2022-04-27 00:00:00;241999199;A;000000000011;000054;115901000;0;0;0;9;75;1372726.6498;10794308.2874;7.118393073810032;-73.12085329222771;"-7º -7' -6,215"" S";"73º 7' 15,072"" W";17 N 1372727 10794308;1150.56064901;4
